List of issues:

id="KT-32" entityId="25-334716"
id="KT-52" entityId="25-333203"
id="KT-56" entityId="25-319921"
id="KT-67" entityId="25-328629"
id="KT-70" entityId="25-328634"
id="KT-72" entityId="25-331191"
id="KT-73" entityId="25-333751"
id="KT-77" entityId="25-333761"
id="KT-86" entityId="25-337355"
id="KT-104" entityId="25-333279"
id="KT-111" entityId="25-333062"
id="KT-117" entityId="25-328696"
id="KT-145" entityId="25-327986"
id="KT-152" entityId="25-334638"
id="KT-156" entityId="25-337198"
id="KT-159" entityId="25-316988"
id="KT-163" entityId="25-334648"
id="KT-185" entityId="25-331835"
id="KT-194" entityId="25-332367"
id="KT-277" entityId="25-343518"
id="KT-279" entityId="25-343611"
id="KT-288" entityId="25-344140"
id="KT-290" entityId="25-344201"
id="KT-313" entityId="25-346297"
id="KT-331" entityId="25-349027"
id="KT-349" entityId="25-350888"
id="KT-350" entityId="25-350889"
id="KT-359" entityId="25-352083"
id="KT-366" entityId="25-352710"
id="KT-375" entityId="25-352886"
id="KT-387" entityId="25-353909"
id="KT-391" entityId="25-354018"
id="KT-419" entityId="25-355933"
id="KT-421" entityId="25-355981"
id="KT-432" entityId="25-356529"
id="KT-437" entityId="25-356586"
id="KT-461" entityId="25-359443"
id="KT-472" entityId="25-359783"
id="KT-504" entityId="25-360778"
id="KT-536" entityId="25-362741"
id="KT-539" entityId="25-363064"
id="KT-547" entityId="25-363087"
id="KT-560" entityId="25-363977"
id="KT-611" entityId="25-365470"
id="KT-737" entityId="25-368683"
id="KT-755" entityId="25-369867"
id="KT-1360" entityId="25-385476"
id="KT-1593" entityId="25-392167"
id="KT-2252" entityId="25-429109"
id="KT-2362" entityId="25-446170"
id="KT-2366" entityId="25-446177"
id="KT-3356" entityId="25-511705"
id="KT-3917" entityId="25-600451"
id="KT-4999" entityId="25-695533"
id="KT-5572" entityId="25-723485"
id="KT-5689" entityId="25-735858"
id="KT-5693" entityId="25-736643"
id="KT-5801" entityId="25-748034"
id="KT-5817" entityId="25-748754"
id="KT-6027" entityId="25-762832"
id="KT-6389" entityId="25-809958"
id="KT-6532" entityId="25-827321"
id="KT-7232" entityId="25-906008"
id="KT-7289" entityId="25-909410"
id="KT-7392" entityId="25-913764"
id="KT-7533" entityId="25-920741"
id="KT-7653" entityId="25-928797"
id="KT-8026" entityId="25-952692"
id="KT-8185" entityId="25-957893"
id="KT-8914" entityId="25-1001819"
id="KT-8925" entityId="25-1002162"
id="KT-9022" entityId="25-1007742"
id="KT-9045" entityId="25-1008528"
id="KT-9514" entityId="25-1031763"
id="KT-9843" entityId="25-1050522"
id="KT-9907" entityId="25-1056359"
id="KT-10549" entityId="25-1094552"
id="KT-10833" entityId="25-1109837"
id="KT-11107" entityId="25-1125731"
id="KT-11640" entityId="25-1165666"
id="KT-11894" entityId="25-1182607"
id="KT-12778" entityId="25-1231839"
id="KT-12821" entityId="25-1236275"
id="KT-15221" entityId="25-1387856"
id="KT-15683" entityId="25-1409699"
id="KT-16514" entityId="25-1458061"
id="KT-16697" entityId="25-1468142"
id="KT-16974" entityId="25-1485517"
id="KT-17557" entityId="25-1520418"
id="KT-18743" entityId="25-1593030"
id="KT-20299" entityId="25-1703024"
id="KT-21208" entityId="25-1767474"
id="KT-21702" entityId="25-1800120"
id="KT-21732" entityId="25-1801755"
id="KT-23749" entityId="25-1946962"
id="KT-23891" entityId="25-1961881"
id="KT-23937" entityId="25-1965744"
id="KT-23938" entityId="25-1965748"
id="KT-25464" entityId="25-2048943"
id="KT-25703" entityId="25-2058832"
